NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,
"d20058bcee8149e09c92bac6052afc62","Virtual machine","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
"d20058bcee8149e09c92bac6052afc62-0-scratchVolume","Disk","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
"d20058bcee8149e09c92bac6052afc62-containerRootVolume","Disk","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
"d20058bcee8149e09c92bac6052afc62-privateNIC","Network Interface","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
"d20058bcee8149e09c92bac6052afc62-publicIP","Public IP address","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
"d20058bcee8149e09c92bac6052afc62-publicNIC","Network Interface","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
"dbmanagedidentity","Managed Identity","databricks-rg-tokyo-analytics-2nssrcv4omv56","Southeast Asia","Visual Studio Enterprise Subscription"
"dbmanagedidentity","Managed Identity","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
"dbstorageudmdpymigee5k","Storage account","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
"dbstoragex23w4ghvamh7w","Storage account","databricks-rg-tokyo-analytics-2nssrcv4omv56","Southeast Asia","Visual Studio Enterprise Subscription"
"NetworkWatcher_southeastasia","Network Watcher","networkwatcherrg","Southeast Asia","Visual Studio Enterprise Subscription"
"NetworkWatcher_southindia","Network Watcher","networkwatcherrg","South India","Visual Studio Enterprise Subscription"
"Tokyo-Analytics","Azure Databricks Service","tokyo-analytics","Southeast Asia","Visual Studio Enterprise Subscription"
"Tokyo-olympics-db","Azure Databricks Service","tokyo-analytics","Southeast Asia","Visual Studio Enterprise Subscription"
"tokyoanalytics","Storage account","tokyo-analytics","South India","Visual Studio Enterprise Subscription"
"tokyoanalytics","Synapse workspace","tokyo-analytics","Southeast Asia","Visual Studio Enterprise Subscription"
"tokyoanalytics-df","Data factory (V2)","tokyo-analytics","South India","Visual Studio Enterprise Subscription"
"visualization","Power BI Embedded","tokyo-analytics","West US","Visual Studio Enterprise Subscription"
"workers-sg","Network security group","databricks-rg-tokyo-analytics-2nssrcv4omv56","Southeast Asia","Visual Studio Enterprise Subscription"
"workers-sg","Network security group","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
"workers-vnet","Virtual network","databricks-rg-tokyo-analytics-2nssrcv4omv56","Southeast Asia","Visual Studio Enterprise Subscription"
"workers-vnet","Virtual network","databricks-rg-tokyo-olympics-db-awa7zxap6b4cu","Southeast Asia","Visual Studio Enterprise Subscription"
